City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.12,-134.97,72.48,77,100,16.75,PF,1601736544
Avarua,-21.21,-159.78,71.6,83,32,3.36,CK,1601736545
Sitka,57.05,-135.33,51.8,87,40,6.93,US,1601736546
Port Alfred,-33.59,26.89,62.17,82,91,22.21,ZA,1601736546
Mataura,-46.19,168.86,55.99,89,100,11.99,NZ,1601736547
Kaitangata,-46.28,169.85,63.0,46,99,14.29,NZ,1601736548
Salalah,17.02,54.09,80.6,83,26,6.93,OM,1601736549
Norman Wells,65.28,-126.83,41.0,86,75,3.36,CA,1601736549
Mattawa,46.74,-119.9,50.0,93,1,3.36,US,1601736550
Ushuaia,-54.8,-68.3,41.0,75,40,6.93,AR,1601736461
Zambezi,-13.54,23.1,97.07,11,1,6.06,ZM,1601736551
Nador,35.17,-2.93,71.6,46,1,17.22,MA,1601736552
Codrington,-38.27,141.97,53.92,89,100,8.95,AU,1601736553
Havelock,34.88,-76.9,66.0,68,90,12.75,US,1601736553
Dikson,73.51,80.55,34.2,88,100,23.26,RU,1601736554
Takoradze,4.88,-1.76,79.32,77,97,7.92,GH,1601736555
Shakawe,-18.37,21.85,94.33,17,86,2.13,BW,1601736555
Itapuranga,-15.56,-49.95,100.72,9,0,7.67,BR,1601736556
Lamu,-2.27,40.9,82.4,69,20,11.41,KE,1601736557
São João da Barra,-21.64,-41.05,95.0,39,0,4.7,BR,1601736557
Albany,42.6,-73.97,54.0,72,54,5.28,US,1601736303
Vardø,70.37,31.11,50.0,81,75,9.17,NO,1601736559
Puerto Ayora,-0.74,-90.35,66.0,95,100,7.0,EC,1601736560
Vaini,-21.2,-175.2,72.16,90,100,26.75,TO,1601736560
Ambilobe,-13.2,49.05,77.74,73,20,3.51,MG,1601736561
Yellowknife,62.46,-114.35,44.6,93,75,14.99,CA,1601736529
Norrtälje,59.76,18.7,57.99,86,67,10.0,SE,1601736562
Butaritari,3.07,172.79,81.14,69,98,7.92,KI,1601736563
Guerrero Negro,27.98,-114.06,77.41,55,0,4.79,MX,1601736564
Punta Arenas,-53.15,-70.92,44.6,80,75,27.51,CL,1601736565
Bukachacha,52.98,116.92,36.72,84,100,5.5,RU,1601736565
Kamenka,51.32,42.77,63.0,26,100,6.13,RU,1601736566
Mount Gambier,-37.83,140.77,55.4,93,90,9.17,AU,1601736567
